Open,High,Low,Close,Volume,Change,Date
55000,55500,54200,54300,22454204,-0.021621621621621623,2025-05-02
54500,55000,54300,54600,17136991,0.005524861878453136,2025-05-07
55100,55500,54500,54600,16320532,0.0,2025-05-08
54700,55000,54400,54800,7814322,0.00366300366300365,2025-05-09
55200,57600,55000,57600,15414702,0.051094890510948954,2025-05-12
57700,58200,56800,56900,16842801,-0.01215277777777779,2025-05-13
57500,57900,57000,57400,12468089,0.008787346221441172,2025-05-14
57400,58600,57100,57300,13139736,-0.0017421602787456303,2025-05-15
57400,57500,56700,56800,10385352,-0.008726003490401424,2025-05-16
56400,56400,55500,55800,9802105,-0.017605633802816878,2025-05-19
56200,56700,55700,55900,9080577,0.0017921146953405742,2025-05-20
56200,56600,55700,55700,7794181,-0.003577817531305927,2025-05-21
55300,55500,54500,54700,15254278,-0.01795332136445238,2025-05-22
55000,55200,54100,54200,11247115,-0.009140767824497242,2025-05-23
53900,55000,53700,54700,10901337,0.009225092250922495,2025-05-26
54200,54500,53800,53900,13439520,-0.014625228519195566,2025-05-27
54300,56100,54200,55900,17516283,0.03710575139146566,2025-05-28
56200,56400,55600,56100,12936810,0.003577817531305927,2025-05-29
56200,57200,55800,56200,26219683,0.0017825311942958333,2025-05-30
56300,57300,56200,56600,8857868,0.007117437722419906,2025-06-02
